label	message
spam	Confirme seus dados e receba R$500 de crédito imediato. http://credito-facil.net
spam	Última chance! Ganhe desconto de 70% na sua fatura. Acesse já!
spam	URGENTE: sua conta bancária será suspensa. Acesse agora: www.seguro123.com
ham	parece muito quieto. a beth está na casa da tia dela e o charlie está trabalhando muito.
ham	s s.. primeira vez.. dhoni arrasa...
ham	você grita e geme na cama, princesa?
ham	não consigo falar, porque o celular está com problema.
spam	Parabéns! Você foi selecionado para ganhar um iPhone 15. Clique aqui: www.premiohoje.com
spam	Seu CPF foi usado em uma compra de R$2.000. Conteste agora: 0800-999-000
ham	boa tarde, meu brinquedinho... como você está se sentindo hoje? melhor, espero?
spam	toques grátis, espero que você tenha gostado do seu novo conteúdo. envie 'parar' para 61610 para cancelar a inscrição. ajuda: 08712400602 450p fornecido por toques2you.co.uk
ham	espero que sua cabeça não doa muito!
spam	Clique no link abaixo para atualizar sua senha do WhatsApp: www.seguranca-wa.com
ham	Boa noite, dorme bem 😴
ham	legal, te mando uma mensagem em alguns minutos
ham	Preciso estudar muito pra prova de amanhã 😓
ham	ai, discutimos depois... te pego às 16h, é isso?
ham	bom dia.
spam	Oi, aqui é da Caixa Econômica. Precisamos confirmar seus dados, responda imediatamente.
ham	moral: pode-se esquecer o nome de uma pessoa, mas não o da sua namorada... b o a n o i t e.
ham	sim, na casa do derek agora, te vejo no domingo <3
ham	Já almoçou? Tô pensando em pedir pizza hoje.
ham	* estou a caminho
ham	Vou passar aí mais tarde, tudo bem?
ham	reivindique 3030, válido por apenas 12 horas, 150ppm
ham	Vamos combinar de sair no sábado!
ham	simplesmente envie a senha 'mix' para 85069 para verificar. obtenha usher e britney. fml, caixa postal 5249, mk17 92h.
ham	me ensine sobre aplicativos. quando você vier para a faculdade.
ham	Oi mãe ❤️ chego em casa umas 19h, guarda comida pra mim?
ham	Acabei de chegar em casa, depois te ligo.
ham	Bom dia! Como você está hoje?
spam	Você ganhou 1 ano grátis de Netflix. Ative em: netflix-premium-gratis.com
ham	Pode me ajudar com a tarefa de matemática depois?
ham	não, ainda estou na pista
ham	achei que tinha colocado de volta na caixa
ham	não sei, porque eu estava muito atrasado e quando cheguei eles já estavam lá dentro... mas comemos espaguete... são as garotas que estão rindo de mim...
ham	Você viu o jogo ontem? Foi emocionante demais!
ham	a caminho.
ham	não vou atender telefone nenhum na verdade, a uma hora bem razoável, mas estou com sono
ham	meu aluguel está vencido e não tenho o suficiente para pagá-lo. minhas reservas acabaram completamente.
ham	não consigo te dar o espaço que você quer e precisa. isso está realmente começando a se tornar um problema.
spam	Detectamos acesso suspeito em sua conta de e-mail. Redefina aqui: www.seguranca-email.com
ham	acho que tá ok. por volta de 116, mas preciso de uma segunda opinião...
ham	me ligue mais tarde ou responda a mensagem, jess xx
ham	esse é um dos problemas, mas a califórnia está ok. sem neve, então é administrável
ham	quando você for grande..|
ham	cara, não me apresse agora.
ham	ei, querida.. posso te buscar na faculdade se você me disser quando e onde nos encontramos.. com amor, pete xx
ham	onde será realizada a copa do mundo da fifa de 2006? envie 'parar' para 87239 para encerrar o serviço
ham	posso ligar para reservar
ham	o nydc no wheellock?
ham	mas vai demorar um pouco, porque ainda não terminei meu filme...
ham	claro, vou ver se consigo passar aí daqui a pouco
ham	eu te dar um baseado ajudaria a gente a superar este momento difícil
ham	bem-vindo ao novo e melhorado clube de sexo e encontros! para cancelar a inscrição neste serviço, responda parar.
ham	rsrs ok, vou tentar enviar. esteja avisado, a sprint é muito lenta. você provavelmente receberá amanhã
ham	o darren me pediu para não cortar muito curto.
ham	aproveite sua vida... boa noite
ham	ei, pãezinhos sensuais! já te disse?
ham	não perca uma deliciosa guloseima.
ham	falo em breve, serena :)
ham	não hesite.
ham	ok, não precisa dizer
